Rank,Player,Team,Runs,Average,StrikeRate
1,Rohit Sharma,India,4231,32.05,140.85
2,Babar Azam,Pakistan,4223,39.84,129.22
3,Virat Kohli,India,4188,48.70,137.04
4,Jos Buttler,England,3700,35.92,147.12
5,Paul Stirling,Ireland,3669,26.78,134.89
6,Martin Guptill,New Zealand,3531,31.81,135.70
7,Mohammad Rizwan,Pakistan,3414,47.42,125.38
8,David Warner,Australia,3277,33.44,142.48
9,Aaron Finch,Australia,3120,34.29,142.53
10,Virandeep Singh,Malaysia,3013,37.66,127.94
11,Muhammad Waseem,United Arab Emirates,2850,38.51,156.34
12,Glenn Maxwell,Australia,2833,29.51,156.00
13,Syed Aziz,Malaysia,2680,30.45,143.16
14,Suryakumar Yadav,India,2598,38.21,167.07
15,David Miller,South Africa,2591,33.22,140.66
16,Quinton de Kock,South Africa,2584,31.51,138.33
17,Kane Williamson,New Zealand,2575,33.44,123.09
18,Shakib Al Hasan,Bangladesh,2551,23.19,121.19
19,Mohammad Hafeez,Pakistan,2514,26.46,122.04
20,Sikandar Raza,Zimbabwe,2487,25.91,135.24
